fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
448,9.999,46.035,0.007180079510335,0.05233135414576272,0.016460529508214916,0.934068191520794,0.027558279835067423,0.0037185883784529375,0.0,0.0,0.08014464339329438
449,9.999,46.101,0.007268545396948,0.10734955580013586,0.04386234154396822,0.8651329634739082,0.06365572188403598,0.019604387730903353,0.0018355486674001076,0.005291137531086895,0.21067400222858063
450,9.999,46.167,0.0069514839538911,0.10429333016806631,0.042039951135920114,0.8705720294194245,0.06012180127529175,0.019687586677369043,0.0016597995670867272,0.005529477059514411,0.21239482285549957
451,9.999,46.233,0.0037021472651348,0.12019906001249711,0.05271865753014881,0.8469541408694623,0.07344169678788741,0.026630257027733188,0.0023935554622897402,0.006673506795965669,0.2593732293550306
452,9.999,46.299,0.0015281789916865,0.007436398934644821,0.0037794847761375154,0.9813024865152875,0.0023758489931533936,0.0048926711649353504,0.0,0.0,0.03254389824146947
453,9.999,46.365,0.0002773148031849,0.008348022403196943,0.006635336606834073,0.9726681622133193,0.0038072143001580605,0.008892406237000963,0.0,0.0,0.04430922873954347
454,10.065,45.045,0.6165552852347271,0.8720193738176949,0.19342964262787993,0.03737494946737601,0.19524834343556394,0.1721264237023809,0.19499654066297264,0.6527297085017982,0.5020128484617167
455,10.065,45.111,0.7195530504933471,0.8929654082452473,0.2021254821273915,0.024839017804403712,0.18749785303912317,0.19648348651211622,0.1547121316602873,0.6455731162181098,0.5102208664989442
456,10.065,45.177,0.7796936913120941,0.9081023791664723,0.20146510798753844,0.016869987799813774,0.1866799094803176,0.19604835444353236,0.1933943454263647,0.7059228881264966,0.5048068809822852
457,10.065,45.243,0.7694617749683458,0.9310511608315628,0.18128967103789673,0.019100077077251903,0.1549681576699695,0.18951521181419712,0.12926957467678163,0.7722329614796931,0.47455211976593603
458,10.065,45.309,0.7945028019147536,0.9289760330122516,0.1783274051008933,0.0221789393688302,0.16043901391344592,0.17837107108337472,0.11284994905239996,0.8738160083337514,0.49530958788587287
459,10.065,45.375,0.8188587883186277,0.9206393489373078,0.19017708390811902,0.021395424100752857,0.17611798375961427,0.18517141393859143,0.09114590689478184,0.9295791944510065,0.5045584954707212
460,10.065,45.441,0.8710705363844333,0.8754934584476876,0.2512082518867987,0.014398786102679821,0.22604314362219136,0.25120126496172884,0.08642256799312194,0.9056954849753643,0.6017089281683061
461,10.065,45.507,0.7866325356018824,0.7827490051089274,0.3472375282455383,0.027688425441766217,0.3179992281214105,0.3416174774927292,0.0966896662586758,0.7041742900125048,0.6628450786779716
462,10.065,45.573,0.6196486258442915,0.5808129017495309,0.3621298916911502,0.17023744488523412,0.34866443630789445,0.33914094229764535,0.050834717902494164,0.40119249183514466,0.6656442403420451
463,10.065,45.639,0.4445417598755878,0.3801599865789822,0.2644671568494049,0.34491011937455585,0.28783884600581067,0.21430494668048852,0.038902203433457155,0.12481974038646293,0.49881832777028356
464,10.065,45.705,0.2783474267580482,0.22690265599504691,0.12367339696320268,0.5267702484068494,0.16162076879586013,0.07308780641398657,0.007352822338957741,0.012727256853345695,0.3331879447176143
465,10.065,45.771,0.129467110005485,0.19334916036590577,0.11186815913064378,0.5871423248895327,0.14530690387148204,0.06701063546708827,0.00025697158259984395,0.006255348715425837,0.3048593728177606
466,10.065,45.837,0.0597754412180222,0.184291422604857,0.11694698591697754,0.6728850569539262,0.15618048205439028,0.06574802052443415,0.0002674911608776027,0.007968663838470166,0.28488992526092866
467,10.065,45.903,0.0197780297966835,0.1531812020074351,0.09974067027918798,0.7735997595908647,0.13486207838248623,0.05441706878910271,0.00035683953676437033,0.007796161160855392,0.24687994468080726
468,10.065,45.969,0.0087793094823438,0.08879145105284586,0.04455543674563157,0.8799988795235392,0.07291387367958478,0.011613323125399337,9.986795416452644e-05,0.0017133151230443297,0.14078495443805508
469,10.065,46.035,0.0069283054405472,0.04465321955946827,0.012868348978229444,0.9411320485491848,0.020574792998293512,0.00390033226931576,8.934837588676767e-05,0.0,0.08232708129566378
470,10.065,46.101,0.0068412648146502,0.10453038753316728,0.04223236690242296,0.8643148376254131,0.06271915995434789,0.0174418390500768,0.0011023432298801052,0.006124743819202561,0.19870817824946885
471,10.065,46.167,0.0064703278005762,0.11403779498756389,0.04960140864087992,0.8489006436061084,0.0697404190083981,0.024415566485441652,0.00034169428566591976,0.006981821949326386,0.2242954874829479
472,10.065,46.233,0.003767636639833,0.14808614191234584,0.06617090787798537,0.809358770201427,0.09353629776487006,0.032041973830467634,0.0016862642588704288,0.009403511084263592,0.29156172525348023
473,10.065,46.299,0.0016683569884415,0.0322123739609108,0.021190571864598728,0.9511794546836125,0.026601728180741194,0.013689516213107546,8.092008591023165e-05,0.0003089559589154452,0.07020597707150798
474,10.065,46.431,0.0,0.04098579545725786,0.008198190607075313,0.9248668497777192,0.012687830311449242,0.002937592420804836,0.0,0.0,0.056032212125161886
475,10.065,46.497,0.0,0.06394206664505797,0.017685266033263772,0.8865346318714782,0.028548584935533822,0.00505526440861527,0.0,0.0,0.07737024202648904
476,10.065,46.563,0.0,0.07582109766928563,0.022070609445137907,0.8639804203170391,0.035805459982057586,0.006109236010621663,0.0,0.0,0.08452960493324899
477,10.131,45.045,0.6293908651541907,0.9463935694479187,0.12882442006096562,0.032158711846974816,0.1313054118788961,0.11338738662503241,0.30242371072864865,0.6754339066470649,0.4406166537242634
478,10.131,45.111,0.7278066018250157,0.9591077049189571,0.139041094038371,0.021225983859641553,0.13666528377818357,0.12745564850589644,0.2316607101836291,0.6597675507050806,0.45767228275630095
479,10.131,45.177,0.7586035946270941,0.9557902385715622,0.15910159325773374,0.012246610244577755,0.15361736872353637,0.148614026307998,0.19972969502217655,0.7207630923492833,0.5065122215937592
